entryid,cityid,stationid,timeid,weathercondition,temperature,humidity,windspeed,visibility,airpressure,dataqualityindicator,remarks,pollutionmetricid,meteorologicalmetricid
1,1,8,62,Cloudy,0.18,12.17,2.11,48.66,1091.39,Hazardous,"Speak bag western economy ready happy garden partner. Art social item necessary.
Article large imagine writer probably. Control message true write garden world.",4,7
2,7,3,23,Snowy,16.8,67.42,2.6,49.41,1097.56,Very Poor,Only dream team into performance cold within about. Yourself whether manager own could first. Good stop admit commercial financial.,1,9
3,1,19,28,Rainy,-5.43,47.94,14.39,1.45,1076.01,Hazardous,"Share when fast source then always.
Back art early. Different garden along compare newspaper.",1,10
4,10,13,6,Foggy,19.05,98.0,15.75,5.57,1092.91,Hazardous,Study more similar share young mission. Open environment opportunity hard. To region feeling voice international way knowledge.,1,10
5,7,17,29,Rainy,3.74,22.21,17.12,30.7,920.17,Hazardous,"Order scene current.
Available thank gun stage line alone. Take trouble participant share claim yes reach. Enough our owner.
Capital example miss attention owner. Name into business.",3,10
6,4,19,93,Clear,5.55,0.82,5.82,18.93,931.88,Moderate,"Finally fear woman area well. Industry consumer man subject bit.
Miss help attack. Recognize film into ball. Run article mission safe.",1,6
7,1,8,52,Clear,38.39,79.33,3.26,19.46,1038.26,Moderate,"Continue cause sound especially. Food might others.
Those computer line. Receive fill newspaper sing be community. Court subject race she she.",2,6
8,4,7,67,Foggy,7.41,7.63,2.26,1.07,1018.22,Poor,"Themselves sign read herself. Pretty field part.
Travel finally score record. Home ten which western top. Believe list baby still bag property red.",3,10
9,10,6,89,Foggy,-5.39,69.18,14.82,30.49,963.79,Moderate,That operation majority phone. Toward only similar our yard source mean. Give word audience manager sometimes.,5,6
10,3,8,83,Snowy,10.88,27.53,3.28,41.94,1075.8,Good,"Break allow create safe.
Young today answer hotel any coach. Teacher catch rich until. Audience its serious spend think. Might allow me product century.",4,9
11,2,12,12,Rainy,23.53,63.73,12.1,3.89,1061.83,Hazardous,"Garden go executive collection phone issue range. Character line over pretty themselves leg military.
Run wish nature experience. Cell become name ability career. Enter Mr really position TV range.",5,8
12,9,9,61,Rainy,32.41,45.59,2.51,35.32,947.56,Poor,"Education carry trouble other hold case. Hundred them international daughter.
Always reason present. Office per call these.",2,7
13,1,19,33,Clear,-0.14,62.62,13.89,2.75,945.16,Hazardous,"Than necessary leader instead approach bed. Quickly east knowledge pull network build.
Worry sense debate develop strong. Lot so consumer add allow. Real camera exist have shake.",3,8
14,2,18,18,Rainy,4.63,13.47,7.81,6.48,1011.55,Moderate,"Magazine then look between civil before.
Thought indeed eight check ago. Church decision cup represent movie dark. Require also senior station parent.",2,6
15,9,9,97,Clear,7.46,26.34,16.87,44.85,1067.69,Very Poor,"Particularly bad final human. Market wish upon both religious various.
Wrong foot step if hundred. Listen child floor tell.",4,7
16,9,14,48,Snowy,14.07,77.4,6.16,11.7,939.15,Moderate,Technology provide sport every sport official. Language home reflect key kid smile. Keep beat future catch single.,2,9
17,1,4,68,Foggy,-1.14,15.93,12.48,34.18,1050.99,Very Poor,"Interview threat act research. Finish accept generation human once reflect during campaign.
Scientist decade low from able key head. Stop officer instead early go star next. Great whom seat history.",2,7
18,10,1,87,Cloudy,-5.7,37.54,18.8,8.61,1024.55,Very Poor,"Such himself member cut true. Heart property second save. Little outside successful image pass letter.
Year ability process.",4,9
19,8,15,53,Rainy,-1.67,36.84,18.93,42.8,1061.4,Hazardous,"Hard reduce question little cost pay affect try. Nice six heavy will.
Leader ten office dinner author prevent manage. If less store.",1,6
20,8,18,98,Snowy,29.33,37.13,9.33,20.21,1039.83,Moderate,Ball avoid my prove rise bill. Song those during author. Individual age result bad back modern anything.,4,8
21,7,20,13,Cloudy,10.02,23.71,8.86,1.93,1032.99,Moderate,Hold guess write six happen second car. Artist last effect story. Medical may behavior foreign hair future until letter.,5,10
22,10,10,92,Clear,6.38,18.74,10.96,38.52,1093.54,Poor,"Year present especially responsibility.
Section message professional party last painting police. Certainly send long point laugh. Box half finally occur.",4,8
23,1,3,26,Foggy,26.59,58.22,8.19,30.8,962.71,Hazardous,"Collection treat let finish apply. Six point name. Control bar they fight try black.
Value environmental history law. Measure language movement including red. Go foot development I.",3,7
24,2,2,33,Snowy,-4.97,66.04,1.56,23.11,1007.66,Poor,"Leg I these nor visit girl. Figure writer keep respond he full. As positive political task.
Table store carry three. Party anyone listen even training. Interesting action case instead.",1,6
